kdrama_name,day
100 Days My Prince,tuesday
100 Days My Prince, monday
12 Signs of Love,wednesday
12 Signs of Love, thursday
12 Years Promise,saturday
12 Years Promise, sunday
18 Again,monday
18 Again, tuesday
365: Repeat the Year,monday
365: Repeat the Year, tuesday
4 Legendary Witches,saturday
4 Legendary Witches, sunday
5th Republic,saturday
5th Republic, sunday
7 First Kisses,monday
7 First Kisses, thursday
7th Grade Civil Servant,wednesday
7th Grade Civil Servant, thursday
#Alive,wednesday
#Alive, saturday
A Beautiful Mind,monday
A Beautiful Mind, tuesday
A Bird That Doesn't Sing,monday
A Bird That Doesn't Sing, tuesday
A Bird That Doesn't Sing, wednesday
A Bird That Doesn't Sing, thursday
A Daughter Just Like You,monday
A Daughter Just Like You, tuesday
A Daughter Just Like You, wednesday
A Daughter Just Like You, thursday
A Daughter Just Like You, friday
A Gentleman's Dignity,saturday
A Gentleman's Dignity, sunday
A Girl Who Sees Smells,wednesday
A Girl Who Sees Smells, thursday
A Happy Woman,saturday
A Happy Woman, sunday
A Hundred Year Legacy,saturday
A Hundred Year Legacy, sunday
A Korean Odyssey,saturday
A Korean Odyssey, sunday
A Little Love Never Hurts,saturday
A Little Love Never Hurts, sunday
A Love So Beautiful,monday
A Love So Beautiful, thursday
A Love So Beautiful, saturday
A Model Family,friday
A New Leaf,wednesday
A New Leaf, thursday
A Piece of Your Mind,monday
A Piece of Your Mind, tuesday
A Place in the Sun,monday
A Place in the Sun, tuesday
A Place in the Sun, wednesday
A Place in the Sun, thursday
A Place in the Sun, friday
A Pledge to God,saturday
A Poem a Day,monday
A Poem a Day, tuesday
A Superior Day,sunday
A Tale of Two Sisters,monday
A Tale of Two Sisters, tuesday
A Tale of Two Sisters, wednesday
A Tale of Two Sisters, thursday
A Tale of Two Sisters, friday
A Thousand Days' Promise,monday
A Thousand Days' Promise, tuesday
A Thousand Kisses,saturday
A Thousand Kisses, sunday
A Time Called You,NA
A Witch's Love,monday
A Witch's Love, tuesday
A-Teen 2,thursday
A-Teen 2, sunday
About Time,monday
About Time, tuesday
Abyss,monday
Abyss, tuesday
Ad Genius Lee Tae-baek,monday
Ad Genius Lee Tae-baek, tuesday
Adamas,wednesday
Adamas, thursday
Adult Trainee,friday
"Aeja's Older Sister, Minja",monday
"Aeja's Older Sister, Minja", friday
Aftermath,NA
Again My Life,friday
Again My Life, saturday
Age of Warriors,saturday
Age of Warriors, sunday
Air City,saturday
Air City, sunday
Alchemy of Souls,saturday
Alchemy of Souls, sunday
Alice,friday
Alice, saturday
All About My Mom,saturday
All About My Mom, sunday
All About My Romance,wednesday
All About My Romance, thursday
All In,wednesday
All In, thursday
All of Us Are Dead,friday
Alone in Love,monday
Alone in Love, tuesday
Amanza,tuesday
Amor Fati,monday
Amor Fati, tuesday
Amor Fati, wednesday
Amor Fati, thursday
Amor Fati, friday
Andante,sunday
Ang Shim Jung,thursday
Angel Eyes,saturday
Angel Eyes, sunday
Angel's Choice,monday
Angel's Choice, tuesday
Angel's Choice, wednesday
Angel's Choice, thursday
Angel's Choice, friday
Angel's Last Mission: Love,wednesday
Angel's Last Mission: Love, thursday
Angel's Revenge,monday
Angel's Revenge, tuesday
Angel's Revenge, wednesday
Angel's Revenge, thursday
Angel's Revenge, friday
Angry Mom,wednesday
Angry Mom, thursday
Anna,friday
Another Miss Oh,monday
Another Miss Oh, tuesday
Another Peaceful Day of Second-Hand Items,thursday
Apgujeong Midnight Sun,monday
Apgujeong Midnight Sun, tuesday
Apgujeong Midnight Sun, wednesday
Apgujeong Midnight Sun, thursday
Apgujeong Midnight Sun, friday
April Kiss,wednesday
April Kiss, thursday
Arang and the Magistrate,wednesday
Arang and the Magistrate, thursday
Are You Human?,monday
Are You Human?, tuesday
Argon,monday
Argon, tuesday
Arthdal Chronicles,saturday
Arthdal Chronicles, sunday
Artificial City,wednesday
Artificial City, thursday
Ask the Stars,NA
Asphalt Man,wednesday
Asphalt Man, thursday
Assembly,wednesday
Assembly, thursday
At Eighteen,monday
At Eighteen, tuesday
"At a Distance, Spring Is Green",monday
"At a Distance, Spring Is Green", tuesday
Autumn Shower,wednesday
Autumn Shower, thursday
Avengers Social Club,wednesday
Avengers Social Club, thursday
Awaken,monday
Awaken, tuesday
Babel,saturday
Babel, sunday
Baby Faced Beauty,monday
Baby Faced Beauty, tuesday
Babysitter,monday
Babysitter, tuesday
Bachelor's Vegetable Store,wednesday
Bachelor's Vegetable Store, thursday
Backstreet Rookie,friday
Backstreet Rookie, saturday
Bad and Crazy,friday
Bad and Crazy, saturday
Bad Guy,saturday
Bad Guys,saturday
Bad Guys 2,saturday
Bad Guys 2, sunday
Bad Housewife,monday
Bad Housewife, tuesday
Bad Papa,monday
Bad Papa, tuesday
"Bad Thief, Good Thief",saturday
"Bad Thief, Good Thief", sunday
"Bad Woman, Good Woman",monday
"Bad Woman, Good Woman", tuesday
"Bad Woman, Good Woman", wednesday
"Bad Woman, Good Woman", thursday
"Bad Woman, Good Woman", friday
Ballad of Seodong,monday
Ballad of Seodong, tuesday
Band of Sisters,saturday
Banjun Drama,NA
Basketball,monday
Basketball, tuesday
Be Melodramatic,friday
Be Melodramatic, saturday
Be My Dream Family,monday
Be My Dream Family, tuesday
Be My Dream Family, wednesday
Be My Dream Family, thursday
