kdrama_name,genre
100 Days My Prince,historical
100 Days My Prince, comedy
100 Days My Prince, romance
100 Days My Prince, drama
12 Signs of Love,comedy
12 Signs of Love, romance
12 Signs of Love, life
12 Years Promise,food
12 Years Promise, romance
12 Years Promise, drama
12 Years Promise, family
18 Again,romance
18 Again, life
18 Again, drama
18 Again, fantasy
365: Repeat the Year,thriller
365: Repeat the Year, mystery
365: Repeat the Year, drama
365: Repeat the Year, fantasy
4 Legendary Witches,food
4 Legendary Witches, romance
4 Legendary Witches, drama
4 Legendary Witches, family
5th Republic,military
5th Republic, historical
5th Republic, life
5th Republic, drama
5th Republic, political
7 First Kisses,comedy
7 First Kisses, romance
7 First Kisses, scifi
7th Grade Civil Servant,action
7th Grade Civil Servant, comedy
7th Grade Civil Servant, romance
#Alive,mystery
#Alive, horror
#Alive, supernatural
A Beautiful Mind,mystery
A Beautiful Mind, psychological
A Beautiful Mind, romance
A Beautiful Mind, medical
A Bird That Doesn't Sing,romance
A Bird That Doesn't Sing, drama
A Bird That Doesn't Sing, family
A Bird That Doesn't Sing, melodrama
A Daughter Just Like You,comedy
A Daughter Just Like You, romance
A Daughter Just Like You, family
A Daughter Just Like You, melodrama
A Gentleman's Dignity,comedy
A Gentleman's Dignity, romance
A Gentleman's Dignity, drama
A Gentleman's Dignity, melodrama
A Girl Who Sees Smells,mystery
A Girl Who Sees Smells, romance
A Girl Who Sees Smells, supernatural
A Happy Woman,romance
A Happy Woman, drama
A Happy Woman, family
A Happy Woman, melodrama
A Hundred Year Legacy,romance
A Hundred Year Legacy, drama
A Hundred Year Legacy, family
A Korean Odyssey,horror
A Korean Odyssey, comedy
A Korean Odyssey, romance
A Korean Odyssey, fantasy
A Little Love Never Hurts,romance
A Little Love Never Hurts, drama
A Little Love Never Hurts, family
A Love So Beautiful,comedy
A Love So Beautiful, romance
A Love So Beautiful, life
A Love So Beautiful, youth
A Model Family,thriller
A Model Family, mystery
A Model Family, crime
A Model Family, drama
A New Leaf,business
A New Leaf, law
A New Leaf, drama
A Piece of Your Mind,romance
A Piece of Your Mind, life
A Piece of Your Mind, drama
A Piece of Your Mind, melodrama
A Place in the Sun,business
A Place in the Sun, romance
A Place in the Sun, drama
A Place in the Sun, melodrama
A Pledge to God,romance
A Pledge to God, life
A Pledge to God, family
A Pledge to God, melodrama
A Poem a Day,romance
A Poem a Day, life
A Poem a Day, drama
A Poem a Day, medical
A Superior Day,thriller
A Superior Day, mystery
A Superior Day, psychological
A Superior Day, drama
A Tale of Two Sisters,romance
A Tale of Two Sisters, drama
A Tale of Two Sisters, family
A Thousand Days' Promise,romance
A Thousand Days' Promise, melodrama
A Thousand Kisses,romance
A Thousand Kisses, drama
A Thousand Kisses, family
A Time Called You,thriller
A Time Called You, mystery
A Time Called You, romance
A Time Called You, fantasy
A Witch's Love,business
A Witch's Love, comedy
A Witch's Love, romance
A-Teen 2,friendship
A-Teen 2, romance
A-Teen 2, school
A-Teen 2, youth
About Time,music
About Time, romance
About Time, fantasy
About Time, melodrama
Abyss,mystery
Abyss, comedy
Abyss, romance
Abyss, fantasy
Ad Genius Lee Tae-baek,business
Ad Genius Lee Tae-baek, comedy
Ad Genius Lee Tae-baek, romance
Ad Genius Lee Tae-baek, drama
Adamas,thriller
Adamas, mystery
Adamas, drama
Adult Trainee,friendship
Adult Trainee, comedy
Adult Trainee, romance
Adult Trainee, school
"Aeja's Older Sister, Minja",romance
"Aeja's Older Sister, Minja", family
Aftermath,thriller
Aftermath, mystery
Aftermath, school
Aftermath, supernatural
Again My Life,mystery
Again My Life, law
Again My Life, drama
Again My Life, fantasy
Age of Warriors,military
Age of Warriors, historical
Age of Warriors, drama
Age of Warriors, political
Air City,action
Air City, romance
Alchemy of Souls,action
Alchemy of Souls, historical
Alchemy of Souls, romance
Alchemy of Souls, fantasy
Alice,mystery
Alice, scifi
Alice, fantasy
Alice, melodrama
All About My Mom,romance
All About My Mom, drama
All About My Mom, family
All About My Mom, melodrama
All About My Romance,comedy
All About My Romance, romance
All About My Romance, political
All In,romance
All In, crime
All In, drama
All In, melodrama
All of Us Are Dead,action
All of Us Are Dead, thriller
All of Us Are Dead, horror
All of Us Are Dead, scifi
Alone in Love,comedy
Alone in Love, romance
Alone in Love, life
Alone in Love, drama
Amanza,life
Amanza, family
Amanza, fantasy
Amanza, melodrama
Amor Fati,romance
Amor Fati, drama
Andante,comedy
Andante, romance
Andante, youth
Andante, melodrama
Ang Shim Jung,historical
Ang Shim Jung, mystery
Angel Eyes,romance
Angel Eyes, family
Angel Eyes, medical
Angel Eyes, melodrama
Angel's Choice,romance
Angel's Choice, drama
Angel's Choice, family
Angel's Last Mission: Love,comedy
Angel's Last Mission: Love, romance
Angel's Last Mission: Love, drama
Angel's Last Mission: Love, fantasy
Angel's Revenge,romance
Angel's Revenge, drama
Angel's Revenge, family
Angel's Revenge, melodrama
Angry Mom,comedy
Angry Mom, drama
Angry Mom, melodrama
Anna,thriller
Anna, drama
Another Miss Oh,comedy
Another Miss Oh, romance
Another Miss Oh, melodrama
Another Miss Oh, supernatural
Another Peaceful Day of Second-Hand Items,comedy
Another Peaceful Day of Second-Hand Items, romance
Another Peaceful Day of Second-Hand Items, life
Another Peaceful Day of Second-Hand Items, drama
Apgujeong Midnight Sun,family
April Kiss,drama
April Kiss, melodrama
Arang and the Magistrate,historical
Arang and the Magistrate, comedy
Arang and the Magistrate, romance
Arang and the Magistrate, supernatural
Are You Human?,comedy
Are You Human?, romance
Are You Human?, scifi
Are You Human?, fantasy
Argon,mystery
Argon, drama
Argon, political
Arthdal Chronicles,historical
Arthdal Chronicles, romance
Arthdal Chronicles, fantasy
Arthdal Chronicles, political
Artificial City,thriller
Artificial City, mystery
Artificial City, psychological
Artificial City, drama
Ask the Stars,comedy
Ask the Stars, romance
Ask the Stars, scifi
Asphalt Man,action
Asphalt Man, romance
Asphalt Man, drama
Asphalt Man, sports
Assembly,law
Assembly, drama
Assembly, political
At Eighteen,comedy
At Eighteen, romance
At Eighteen, life
At Eighteen, drama
"At a Distance, Spring Is Green",romance
"At a Distance, Spring Is Green", life
"At a Distance, Spring Is Green", school
"At a Distance, Spring Is Green", youth
Autumn Shower,drama
Autumn Shower, melodrama
Avengers Social Club,friendship
Avengers Social Club, comedy
Avengers Social Club, life
Avengers Social Club, drama
Awaken,thriller
Awaken, mystery
Awaken, crime
Awaken, fantasy
Babel,mystery
Babel, business
Babel, law
Babel, romance
Baby Faced Beauty,business
Baby Faced Beauty, comedy
Baby Faced Beauty, romance
Babysitter,thriller
Babysitter, mystery
Babysitter, drama
Bachelor's Vegetable Store,comedy
Bachelor's Vegetable Store, romance
Bachelor's Vegetable Store, drama
Bachelor's Vegetable Store, melodrama
Backstreet Rookie,action
Backstreet Rookie, business
Backstreet Rookie, comedy
Backstreet Rookie, romance
Bad and Crazy,action
Bad and Crazy, thriller
Bad and Crazy, mystery
Bad Guy,action
Bad Guy, thriller
Bad Guy, psychological
Bad Guy, crime
Bad Guys,action
Bad Guys, thriller
Bad Guys, psychological
Bad Guys, crime
Bad Guys 2,action
Bad Guys 2, mystery
Bad Guys 2, crime
Bad Guys 2, political
Bad Housewife,comedy
Bad Housewife, romance
Bad Housewife, drama
Bad Papa,adventure
Bad Papa, drama
Bad Papa, family
Bad Papa, sports
"Bad Thief, Good Thief",thriller
"Bad Thief, Good Thief", comedy
"Bad Thief, Good Thief", law
"Bad Thief, Good Thief", romance
"Bad Woman, Good Woman",drama
Ballad of Seodong,historical
Ballad of Seodong, romance
Band of Sisters,romance
Band of Sisters, drama
Band of Sisters, melodrama
Banjun Drama,romance
Banjun Drama, drama
Basketball,historical
Basketball, romance
Basketball, drama
Basketball, sports
Be Melodramatic,comedy
Be Melodramatic, romance
Be Melodramatic, life
Be Melodramatic, melodrama
Be My Dream Family,comedy
Be My Dream Family, romance
Be My Dream Family, drama
Be My Dream Family, family
Be Positive,comedy
Be Positive, romance
Be Positive, drama
"Be Strong, Geum-soon!",comedy
"Be Strong, Geum-soon!", romance
"Be Strong, Geum-soon!", drama
"Be Strong, Geum-soon!", family
Beating Again,business
Beating Again, comedy
Beating Again, romance
Beating Again, drama
Beating Heart,romance
Beating Heart, life
Beating Heart, drama
Beautiful Days,romance
Beautiful Days, drama
Beautiful Days, family
Beautiful Gong Shim,comedy
Beautiful Gong Shim, romance
Beautiful Gong Shim, drama
"Beautiful Love, Wonderful Life",comedy
"Beautiful Love, Wonderful Life", romance
"Beautiful Love, Wonderful Life", drama
