Kdrama_name,Episodes,start airing,end airing,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
100 Days My Prince,16,10-Sep-18,30-Oct-18,75,8.3,21274,554,136,15+ - Teens 15 or older,"45,852"
12 Signs of Love,16,15-Feb-12,5-Apr-12,65,7.1,893,5506,3327,Not Yet Rated,"2,543"
12 Years Promise,26,22-Mar-14,29-Jun-14,70,7.2,2716,5395,1783,15+ - Teens 15 or older,"5,435"
18 Again,16,21-Sep-20,10-Nov-20,70,8.7,21409,105,125,15+ - Teens 15 or older,"47,527"
365: Repeat the Year,24,23-Mar-20,28-Apr-20,35,8.6,7598,250,438,15+ - Teens 15 or older,"20,963"
4 Legendary Witches,40,25-Oct-14,8-Mar-15,64,7.7,1151,2840,2821,15+ - Teens 15 or older,"3,156"
5th Republic,41,23-Apr-05,1-Sep-05,65,6.9,6,76723,99999,15+ - Teens 15 or older,81
7 First Kisses,8,5-Dec-16,5-Jan-17,10,6.9,18317,5949,216,15+ - Teens 15 or older,"34,665"
7th Grade Civil Servant,20,23-Jan-13,28-Mar-13,65,6.9,4686,5938,985,15+ - Teens 15 or older,"10,347"
#Alive,8,17-Aug-19,28-Aug-19,10,7.4,265,68801,6080,15+ - Teens 15 or older,"1,025"
A Beautiful Mind,14,20-Jun-16,2-Aug-16,60,8.2,9122,839,366,15+ - Teens 15 or older,"23,734"
A Bird That Doesn't Sing,100,4-May-15,22-Oct-15,50,7.3,72,70822,8632,Not Yet Rated,552
A Daughter Just Like You,120,18-May-15,6-Nov-15,35,7.5,342,3905,4987,15+ - Teens 15 or older,"1,389"
A Gentleman's Dignity,20,26-May-12,12-Aug-12,65,8.3,15678,730,264,15+ - Teens 15 or older,"30,386"
A Girl Who Sees Smells,16,1-Apr-15,21-May-15,60,7.9,20062,1895,163,15+ - Teens 15 or older,"40,391"
A Happy Woman,58,6-Jan-07,22-Jul-07,60,6.6,31,79155,99999,15+ - Teens 15 or older,163
A Hundred Year Legacy,50,5-Jan-13,23-Jun-13,80,7.2,1506,5372,2663,15+ - Teens 15 or older,"3,439"
A Korean Odyssey,20,23-Dec-17,4-Mar-18,80,8.3,34175,778,55,15+ - Teens 15 or older,"71,365"
A Little Love Never Hurts,50,28-Sep-13,30-Mar-14,64,7,335,5756,4853,15+ - Teens 15 or older,"1,443"
A Love So Beautiful,24,28-Dec-20,20-Feb-21,20,7.8,12861,2351,353,13+ - Teens 13 or older,"24,624"
A Model Family,10,12-Aug-22,N/A,45,7.6,359,3170,3636,18+ Restricted (violence & profanity),"2,243"
A New Leaf,16,30-Apr-14,26-Jun-14,60,6.8,1216,6101,2623,15+ - Teens 15 or older,"3,498"
A Piece of Your Mind,12,23-Mar-20,28-Apr-20,71,8.2,9704,950,324,15+ - Teens 15 or older,"26,179"
A Place in the Sun,102,3-Jun-19,1-Nov-19,35,7.4,221,70165,4617,15+ - Teens 15 or older,"1,545"
A Pledge to God,48,24-Nov-18,16-Feb-19,25,7.6,404,3465,4211,15+ - Teens 15 or older,"1,781"
A Poem a Day,16,26-Mar-18,15-May-18,65,7.9,6017,1896,583,15+ - Teens 15 or older,"17,097"
