kdrama_name,tags
100 Days My Prince,amnesia
100 Days My Prince, hidden identity
100 Days My Prince, marriage of convenience
100 Days My Prince, joseon dynasty
100 Days My Prince, fake marriage
100 Days My Prince, eccentric male lead
100 Days My Prince, hardworking female lead
100 Days My Prince, double identity
100 Days My Prince, strong female lead
100 Days My Prince, riches to rags 
12 Signs of Love,writer female lead 
12 Years Promise,unexpected pregnancy
12 Years Promise, miscarriage
12 Years Promise, teenage pregnancy
12 Years Promise, pregnancy
12 Years Promise, high school to working life
12 Years Promise, rags to riches
12 Years Promise, high school
12 Years Promise, rich male lead
12 Years Promise, first love
12 Years Promise, soap opera 
18 Again,second chance
18 Again, first love
18 Again, fatherson relationship
18 Again, divorce
18 Again, fatherdaughter relationship
18 Again, hardworking female lead
18 Again, motherdaughter relationship
18 Again, school
18 Again, becoming young
18 Again, school bullying 
365: Repeat the Year,strong female lead
365: Repeat the Year, time travel
365: Repeat the Year, nice male lead
365: Repeat the Year, suspense
365: Repeat the Year, murder
365: Repeat the Year, fate
365: Repeat the Year, supernatural
365: Repeat the Year, lying
365: Repeat the Year, bromance
365: Repeat the Year, strong male lead 
4 Legendary Witches,manager supporting character
4 Legendary Witches, single father
4 Legendary Witches, widower
4 Legendary Witches, hardworking female lead
4 Legendary Witches, entrepreneur
4 Legendary Witches, wrongfully accused
4 Legendary Witches, accident
4 Legendary Witches, poor female lead
4 Legendary Witches, corruption
4 Legendary Witches, cohabitation 
5th Republic,massacre
5th Republic, gwangju uprising
5th Republic, death
5th Republic, based on true story 
7 First Kisses,reverseharem
7 First Kisses, miniseries
7 First Kisses, web series
7 First Kisses, advertisement
7 First Kisses, time travel
7 First Kisses, male chases female first
7 First Kisses, short length series
7 First Kisses, time altering
7 First Kisses, multiple mains
7 First Kisses, childhood friends relationship 
7th Grade Civil Servant,national intelligence service
7th Grade Civil Servant, rivals to lovers
7th Grade Civil Servant, spy
7th Grade Civil Servant, second chance
7th Grade Civil Servant, rich male lead 
#Alive,ghostseeing male lead
#Alive, ghost
#Alive, investigation
#Alive, suspense
#Alive, workplace setting
#Alive, short length series
#Alive, customer service staff
#Alive, workplace abuse
#Alive, miniseries
#Alive, death 
A Beautiful Mind,antisocial personality disorder
A Beautiful Mind, eccentric male lead
A Beautiful Mind, fatherson relationship
A Beautiful Mind, emotional blunting
A Beautiful Mind, investigation
A Beautiful Mind, cold manwarm woman
A Beautiful Mind, slow burn romance
A Beautiful Mind, character development
A Beautiful Mind, neurosurgeon male lead
A Beautiful Mind, hospital setting 
A Bird That Doesn't Sing,wrongfully accused
A Bird That Doesn't Sing, soap opera
A Bird That Doesn't Sing, revenge
A Bird That Doesn't Sing, riches to rags 
A Daughter Just Like You,cold female lead
A Daughter Just Like You, single father
A Daughter Just Like You, warm mancold woman
A Daughter Just Like You, widower
A Daughter Just Like You, independent female lead
A Daughter Just Like You, hardworking female lead
A Daughter Just Like You, strict father
A Daughter Just Like You, selfish mother
A Daughter Just Like You, supportive fatherinlaw
A Daughter Just Like You, smart female lead 
A Gentleman's Dignity,adult romance
A Gentleman's Dignity, bromance
A Gentleman's Dignity, friendship
A Gentleman's Dignity, age gap drama life
A Gentleman's Dignity, age gap real life
A Gentleman's Dignity, male centered plot
A Gentleman's Dignity, dissociative amnesia
A Gentleman's Dignity, independent female lead
A Gentleman's Dignity, mental illness
A Gentleman's Dignity, love at first sight 
A Girl Who Sees Smells,amnesia
A Girl Who Sees Smells, tragic past
A Girl Who Sees Smells, nice male lead
A Girl Who Sees Smells, prosopagnosia
A Girl Who Sees Smells, female chases male first
A Girl Who Sees Smells, synesthesia
A Girl Who Sees Smells, special power
A Girl Who Sees Smells, orphan female lead
A Girl Who Sees Smells, psychopath
A Girl Who Sees Smells, strong female lead 
A Happy Woman,marriage
A Happy Woman, love triangle 
A Hundred Year Legacy,soap opera
A Hundred Year Legacy, married couple
A Hundred Year Legacy, divorce
A Hundred Year Legacy, food 
A Korean Odyssey,ghostseeing female lead
A Korean Odyssey, special power
A Korean Odyssey, supernatural power
A Korean Odyssey, demon
A Korean Odyssey, steamy kiss
A Korean Odyssey, aggressive male lead
A Korean Odyssey, ghost
A Korean Odyssey, tough male lead
A Korean Odyssey, lovehate relationship
A Korean Odyssey, bromance 
A Little Love Never Hurts,
A Love So Beautiful,unrequited love
A Love So Beautiful, first love
A Love So Beautiful, doctor male lead
A Love So Beautiful, height difference
A Love So Beautiful, bright female lead
A Love So Beautiful, female chases male first
A Love So Beautiful, adapted from a novel
A Love So Beautiful, love triangle
A Love So Beautiful, smart male lead
A Love So Beautiful, high school 
A Model Family,investigation
A Model Family, suspense
A Model Family, professor male lead
A Model Family, gun violence
A Model Family, drug usage
A Model Family, bankruptcy
A Model Family, organized crime
A Model Family, secret
A Model Family, married couple
A Model Family, miniseries 
A New Leaf,lawyer male lead
A New Leaf, slight romance
A New Leaf, fatherson relationship
A New Leaf, corruption
A New Leaf, amnesia 
A Piece of Your Mind,healing
A Piece of Your Mind, depression
A Piece of Your Mind, slow burn romance
A Piece of Your Mind, artificial intelligence
A Piece of Your Mind, character development
A Piece of Your Mind, tragic past
A Piece of Your Mind, insomnia
A Piece of Your Mind, secret crush
A Piece of Your Mind, trauma
A Piece of Your Mind, music 
A Place in the Sun,car accident
A Place in the Sun, tough male lead
A Place in the Sun, orphan male lead
A Place in the Sun, smart male lead
A Place in the Sun, birth secret
A Place in the Sun, switched at birth
A Place in the Sun, nice male lead
A Place in the Sun, unexpected pregnancy
A Place in the Sun, jealousy
A Place in the Sun, corruption 
A Pledge to God,hardship
A Pledge to God, brothers relationship
A Pledge to God, punishment
A Pledge to God, hatred
A Pledge to God, break up
A Pledge to God, nice female lead
A Pledge to God, grandmagrandson relationship
A Pledge to God, repentance
A Pledge to God, chairman
A Pledge to God, news media 
A Poem a Day,poetry
A Poem a Day, nice female lead
A Poem a Day, hardworking female lead
A Poem a Day, strong male lead
A Poem a Day, smart male lead
A Poem a Day, nice male lead
A Poem a Day, female chases male first
A Poem a Day, love triangle
A Poem a Day, hardworking male lead
A Poem a Day, tough male lead 
A Superior Day,gore
A Superior Day, extreme violence
A Superior Day, suspense
A Superior Day, firefighter male lead
A Superior Day, psychopath male lead
A Superior Day, skilled killer
A Superior Day, mental illness
A Superior Day, trauma
A Superior Day, fatherdaughter relationship
A Superior Day, death 
A Tale of Two Sisters,sisters relationship
A Tale of Two Sisters, partner switch
A Tale of Two Sisters, secondary couple
A Tale of Two Sisters, soap opera
A Tale of Two Sisters, birth secret
A Tale of Two Sisters, love square
A Tale of Two Sisters, rags to riches
A Tale of Two Sisters, rich male lead
A Tale of Two Sisters, unrequited love 
A Thousand Days' Promise,alzheimers disease
A Thousand Days' Promise, forbidden love 
A Thousand Kisses,age gap drama life
A Thousand Kisses, age gap real life
A Thousand Kisses, older manyounger woman
A Thousand Kisses, older womanyounger man
A Thousand Kisses, multiple couples 
A Time Called You,mdl remake
A Time Called You, best friends relationship
A Time Called You, attempted assault
A Time Called You, attempted murder
A Time Called You, break up
A Time Called You, attempted suicide
A Time Called You, time loop
A Time Called You, parallel dimension
A Time Called You, sassy female lead
A Time Called You, family relationship 
A Witch's Love,older womanyounger man
A Witch's Love, nice male lead
A Witch's Love, steamy kiss
A Witch's Love, exboyfriend comes back
A Witch's Love, warm mancold woman
A Witch's Love, male chases female first
A Witch's Love, love triangle
A Witch's Love, cheerful male lead
A Witch's Love, cohabitation
A Witch's Love, bossemployee relationship 
A-Teen 2,multiple mains
A-Teen 2, high school
A-Teen 2, web series
A-Teen 2, student
A-Teen 2, multiple couples
A-Teen 2, short length series
A-Teen 2, drama
A-Teen 2, comedy 
About Time,female chases male first
About Time, exgirlfriend comes back
About Time, love triangle
About Time, rich male lead
About Time, best friends relationship
About Time, theater setting
About Time, assistant director supporting character
About Time, musical actress female lead
About Time, writer supporting character
About Time, neuropsychiatrist supporting character 
Abyss,murder
Abyss, reincarnation
Abyss, death
Abyss, nice male lead
Abyss, hidden identity
Abyss, investigation
Abyss, second chance
Abyss, hardworking female lead
Abyss, smart female lead
Abyss, sassy female lead 
Ad Genius Lee Tae-baek,workplace setting
Ad Genius Lee Tae-baek, marketing
Ad Genius Lee Tae-baek, advertising
Ad Genius Lee Tae-baek, underdog
Ad Genius Lee Tae-baek, art
Ad Genius Lee Tae-baek, melodrama 
Adamas,revenge
Adamas, twins
Adamas, death of a stepfather
Adamas, writer male lead
Adamas, reporter female lead
Adamas, brothers relationship
Adamas, secret
Adamas, death
Adamas, murder
Adamas, investigation 
Adult Trainee,miniseries
Adult Trainee, web series
Adult Trainee, steamy kiss
Adult Trainee, multiple mains
Adult Trainee, friends to lovers
Adult Trainee, mild sexual content
Adult Trainee, fake relationship 
"Aeja's Older Sister, Minja",
Aftermath,miniseries
Aftermath, web series
Aftermath, short length series
Aftermath, supernatural power
Aftermath, high school
Aftermath, adapted from a webtoon
Aftermath, suspense
Aftermath, investigation
Aftermath, youth
Aftermath, romance 
Again My Life,time travel
Again My Life, fight for justice
Again My Life, death
Again My Life, prosecutor male lead
Again My Life, corruption
Again My Life, investigation
Again My Life, second chance
Again My Life, bullied male lead
Again My Life, competitive male lead
Again My Life, grim reaper supporting character 
Age of Warriors,goryeo dynasty
Age of Warriors, historical fiction
Age of Warriors, inspired by real events 
Air City,
Alchemy of Souls,spirit
Alchemy of Souls, masterdisciple relationship
Alchemy of Souls, transmigration
Alchemy of Souls, multiple mains
Alchemy of Souls, strong female lead
Alchemy of Souls, age gap real life
Alchemy of Souls, kind male lead
Alchemy of Souls, birth secret
Alchemy of Souls, assassin female lead
Alchemy of Souls, magical power 
Alice,time travel
Alice, motherson relationship
Alice, double identity
Alice, alexithymia
Alice, older womanyounger man
Alice, murder
Alice, police department setting
Alice, death of a mother
Alice, death of a father
Alice, detective male lead 
All About My Mom,married couple
All About My Mom, cancer
All About My Mom, nice male lead
All About My Mom, marriage
All About My Mom, pregnancy 
All About My Romance,forbidden love
All About My Romance, secret relationship
All About My Romance, male chases female first
All About My Romance, enemies to lovers
All About My Romance, eccentric male lead
All About My Romance, love square
All About My Romance, unrequited love
All About My Romance, lovehate relationship
All About My Romance, secret romance
All About My Romance, blackmail 
All In,gambling
All In, star crossed lovers
All In, greed
All In, scheme
All In, rich female lead
All In, rivalry
All In, power struggle
All In, jealousy
All In, revenge
All In, character development 
All of Us Are Dead,survival
All of Us Are Dead, zombies
All of Us Are Dead, death
All of Us Are Dead, gore
All of Us Are Dead, school
All of Us Are Dead, virus
All of Us Are Dead, slight romance
All of Us Are Dead, zombie apocalypse
All of Us Are Dead, high school
All of Us Are Dead, suspense 
Alone in Love,adapted from a novel
Alone in Love, slow burn story
Alone in Love, divorced male lead
Alone in Love, divorced female lead
Alone in Love, nice female lead
Alone in Love, love square
Alone in Love, multiple couples
Alone in Love, nice male lead
Alone in Love, marriage 
Amanza,cancer
Amanza, dream world
Amanza, mixed live actionanimation
Amanza, tearjerker
Amanza, adapted from a webtoon
Amanza, adventure
Amanza, web series
Amanza, short length series
Amanza, supportive girlfriend
Amanza, mental illness 
Amor Fati,cancer
Amor Fati, divorced female lead
Amor Fati, single father
Amor Fati, soap opera
Amor Fati, family relationship
Amor Fati, healing
Amor Fati, infidelity
Amor Fati, fatherson relationship
Amor Fati, divorce
Amor Fati, terminal illness 
Andante,bittersweet ending
Andante, terminal illness
Andante, countryside setting
Andante, transfer student
Andante, coming of age
Andante, student
Andante, drama 
Ang Shim Jung,investigation 
Angel Eyes,first love
Angel Eyes, male chases female first
Angel Eyes, secret
Angel Eyes, forbidden love
Angel Eyes, tearjerker
Angel Eyes, death
Angel Eyes, star crossed lovers
Angel Eyes, hidden past
Angel Eyes, lovers separated
Angel Eyes, second chance romance 
Angel's Choice,soap opera 
Angel's Last Mission: Love,nice male lead
Angel's Last Mission: Love, warm mancold woman
Angel's Last Mission: Love, orphan female lead
Angel's Last Mission: Love, strong female lead
Angel's Last Mission: Love, opposites attract
Angel's Last Mission: Love, ballet
Angel's Last Mission: Love, rich female lead
Angel's Last Mission: Love, tearjerker
Angel's Last Mission: Love, male chases female first
Angel's Last Mission: Love, cohabitation 
Angel's Revenge,religious female lead
Angel's Revenge, immature male lead
Angel's Revenge, car accident
Angel's Revenge, male chases female first
Angel's Revenge, strong female lead
Angel's Revenge, lying
Angel's Revenge, revenge
Angel's Revenge, rich manpoor woman
Angel's Revenge, pregnancy
Angel's Revenge, church setting 
Angry Mom,independent female lead
Angry Mom, motherdaughter relationship
Angry Mom, high school
Angry Mom, corruption
Angry Mom, strong female lead
Angry Mom, school bullying
Angry Mom, double identity
Angry Mom, sexual harassment
Angry Mom, sexual assault
Angry Mom, smart female lead 
Anna,ripley syndrome
Anna, mental illness
Anna, antisocial personality disorder
Anna, miniseries
Anna, antihero
Anna, web series
Anna, suspense 
Another Miss Oh,steamy kiss
Another Miss Oh, mistaken identity
Another Miss Oh, cold manwarm woman
Another Miss Oh, precognition
Another Miss Oh, healing
Another Miss Oh, lovehate relationship
Another Miss Oh, successful male lead
Another Miss Oh, hardworking male lead
Another Miss Oh, secondary couple
Another Miss Oh, female chases male first 
Another Peaceful Day of Second-Hand Items,short length series
Another Peaceful Day of Second-Hand Items, miniseries
Another Peaceful Day of Second-Hand Items, infidelity
Another Peaceful Day of Second-Hand Items, web series 
Apgujeong Midnight Sun,death
Apgujeong Midnight Sun, orphan female lead
Apgujeong Midnight Sun, multiple mains
Apgujeong Midnight Sun, multiple couples
Apgujeong Midnight Sun, manipulative female lead
Apgujeong Midnight Sun, evil mother
Apgujeong Midnight Sun, star crossed lovers
Apgujeong Midnight Sun, soap opera
Apgujeong Midnight Sun, loneliness
Apgujeong Midnight Sun, antihero 
April Kiss,artist
April Kiss, first love
April Kiss, love triangle 
Arang and the Magistrate,ghost
Arang and the Magistrate, interspecies romance
Arang and the Magistrate, amnesia
Arang and the Magistrate, joseon dynasty
Arang and the Magistrate, motherson relationship
Arang and the Magistrate, strong female lead
Arang and the Magistrate, political
Arang and the Magistrate, drama
Arang and the Magistrate, missing person
Arang and the Magistrate, grim reaper supporting character 
Are You Human?,robot
Are You Human?, nice male lead
Are You Human?, artificial intelligence
Are You Human?, interspecies romance
Are You Human?, smart male lead
Are You Human?, identity swap
Are You Human?, android
Are You Human?, strong male lead
Are You Human?, hidden identity
Are You Human?, cheerful male lead 
Argon,bossemployee relationship
Argon, journalism
Argon, corruption
Argon, news anchor
Argon, workplace setting
Argon, mild sexual content
Argon, death of a wife
Argon, reporter male lead
Argon, reporter female lead
Argon, single father male lead 
Arthdal Chronicles,war
Arthdal Chronicles, power struggle
Arthdal Chronicles, slavery
Arthdal Chronicles, good twinevil twin
Arthdal Chronicles, strong female lead
Arthdal Chronicles, revenge
Arthdal Chronicles, character development
Arthdal Chronicles, fatherdaughter relationship
Arthdal Chronicles, strong male lead
Arthdal Chronicles, political intrigue 
Artificial City,female centered plot
Artificial City, fatherinlaw  daughterinlaw relationship
Artificial City, news presenter male lead
Artificial City, foundation director female lead
Artificial City, motherinlaw  daughterinlaw relationship
Artificial City, married life
Artificial City, ambitious female lead
Artificial City, popular male lead
Artificial City, society
Artificial City, conglomerate 
Ask the Stars,astronaut female lead
Ask the Stars, doctor male lead
Ask the Stars, outer space 
Asphalt Man,brothers relationship
Asphalt Man, car racing 
Assembly,national assembly
Assembly, nice male lead 
At Eighteen,first love
At Eighteen, high school
At Eighteen, shy male lead
At Eighteen, love triangle
At Eighteen, lying
At Eighteen, nice male lead
At Eighteen, hardworking male lead
At Eighteen, strong female lead
At Eighteen, coming of age
At Eighteen, school rivalry 
"At a Distance, Spring Is Green",coming of age
"At a Distance, Spring Is Green", adapted from a webtoon
"At a Distance, Spring Is Green", bromance
"At a Distance, Spring Is Green", child abuse
"At a Distance, Spring Is Green", student
"At a Distance, Spring Is Green", depression
"At a Distance, Spring Is Green", abusive parents
"At a Distance, Spring Is Green", anxiety
"At a Distance, Spring Is Green", childhood trauma
"At a Distance, Spring Is Green", hardworking male lead 
Autumn Shower,betrayal
Autumn Shower, infidelity
Autumn Shower, divorce
Autumn Shower, sismance
Autumn Shower, love triangle
Autumn Shower, friendship 
Avengers Social Club,revenge
Avengers Social Club, sismance
Avengers Social Club, strong female lead
Avengers Social Club, healing
Avengers Social Club, smart male lead
Avengers Social Club, motherson relationship
Avengers Social Club, motherdaughter relationship
Avengers Social Club, tragic past
Avengers Social Club, abusive husband
Avengers Social Club, nice stepmother 
Awaken,tragic past
Awaken, psychology
Awaken, eccentric male lead
Awaken, special power
Awaken, teamwork
Awaken, child abuse
Awaken, hottempered female lead
Awaken, trauma
Awaken, strong male lead
Awaken, orphan male lead 
Babel,revenge
Babel, infidelity
Babel, actress female lead
Babel, pregnant female lead
Babel, prosecutor male lead
Babel, flashback to past
Babel, attempted assault
Babel, wealth obsession
Babel, impulsive male lead
Babel, evil motherinlaw 
Baby Faced Beauty,hidden identity
Baby Faced Beauty, older womanyounger man
Baby Faced Beauty, fashion industry
Baby Faced Beauty, workplace romance
Baby Faced Beauty, male chases female first
Baby Faced Beauty, clingy male lead 
Babysitter,older manyounger woman
Babysitter, married couple
Babysitter, miniseries
Babysitter, infidelity
Babysitter, babysitting
Babysitter, investigation
Babysitter, suspense 
Bachelor's Vegetable Store,childhood friends relationship
Bachelor's Vegetable Store, rich womanpoor man
Bachelor's Vegetable Store, nice male lead
Bachelor's Vegetable Store, based on true story
Bachelor's Vegetable Store, friendship 
Backstreet Rookie,hardworking female lead
Backstreet Rookie, badass female lead
Backstreet Rookie, bossemployee relationship
Backstreet Rookie, female chases male first
Backstreet Rookie, nice female lead
Backstreet Rookie, adapted from a webtoon
Backstreet Rookie, strong female lead
Backstreet Rookie, store manager
Backstreet Rookie, misunderstanding
Backstreet Rookie, slow burn romance 
Bad and Crazy,injustice
Bad and Crazy, corruption
Bad and Crazy, investigation
Bad and Crazy, eccentric male lead
Bad and Crazy, slight comedy
Bad and Crazy, strong male lead
Bad and Crazy, antihero
Bad and Crazy, strong female lead
Bad and Crazy, slight romance
Bad and Crazy, bromance 
Bad Guy,murder
Bad Guy, teamwork
Bad Guy, strong male lead
Bad Guy, smart male lead
Bad Guy, skilled killer
Bad Guy, violence
Bad Guy, death
Bad Guy, revenge
Bad Guy, detective male lead
Bad Guy, bromance 
Bad Guys,murder
Bad Guys, teamwork
Bad Guys, strong male lead
Bad Guys, smart male lead
Bad Guys, skilled killer
Bad Guys, violence
Bad Guys, death
Bad Guys, revenge
Bad Guys, detective male lead
Bad Guys, bromance 
Bad Guys 2,scheme
Bad Guys 2, teamwork
Bad Guys 2, strong male lead
Bad Guys 2, power struggle
Bad Guys 2, smart male lead
Bad Guys 2, street fight
Bad Guys 2, corruption
Bad Guys 2, gang
Bad Guys 2, revenge
Bad Guys 2, violence 
Bad Housewife,stay at home dad
Bad Housewife, house husband 
Bad Papa,boxing
Bad Papa, childhood friends relationship
Bad Papa, morally ambiguous male lead
Bad Papa, childhood crush
Bad Papa, mad dog
Bad Papa, car accident
Bad Papa, impulsive male lead
Bad Papa, benevolent father
Bad Papa, secret crush
Bad Papa, second chance romance 
"Bad Thief, Good Thief",thief
"Bad Thief, Good Thief", policewoman
"Bad Thief, Good Thief", corruption
"Bad Thief, Good Thief", lawyer supporting character
"Bad Thief, Good Thief", brothers relationship
"Bad Thief, Good Thief", country manipulation
"Bad Thief, Good Thief", detective
"Bad Thief, Good Thief", family
"Bad Thief, Good Thief", crime
"Bad Thief, Good Thief", suspense 
"Bad Woman, Good Woman",soap opera
"Bad Woman, Good Woman", infidelity 
Ballad of Seodong,baekje dynasty
Ballad of Seodong, silla dynasty
Ballad of Seodong, king male lead
Ballad of Seodong, princess female lead
Ballad of Seodong, historical fiction
Ballad of Seodong, royalty
Ballad of Seodong, birth secret 
Band of Sisters,best friends relationship
Band of Sisters, female centered plot
Band of Sisters, long lost child
Band of Sisters, soap opera
Band of Sisters, multiple mains
Band of Sisters, infidelity
Band of Sisters, death
Band of Sisters, revenge
Band of Sisters, family
Band of Sisters, friendship 
Banjun Drama,
Basketball,forbidden love
Basketball, japanese colonial rule
Basketball, rich womanpoor man
Basketball, famous male lead
Basketball, historical fiction
Basketball, rich female lead
Basketball, basketball
Basketball, melodrama 
Be Melodramatic,multiple mains
Be Melodramatic, sismance
Be Melodramatic, strong female lead
Be Melodramatic, multiple couples
Be Melodramatic, independent female lead
Be Melodramatic, eccentric female lead
Be Melodramatic, badass female lead
Be Melodramatic, entertainment industry
Be Melodramatic, smart female lead
Be Melodramatic, bossemployee relationship 
Be My Dream Family,family relationship
Be My Dream Family, multiple couples
Be My Dream Family, slow burn romance
Be My Dream Family, multiple mains
Be My Dream Family, marriage
Be My Dream Family, twins
Be My Dream Family, stay at home dad
Be My Dream Family, single mother
Be My Dream Family, single father
Be My Dream Family, working mom 
Be Positive,miniseries
Be Positive, web series
Be Positive, actress female lead
Be Positive, short length series
Be Positive, university
Be Positive, student
Be Positive, second chance 
"Be Strong, Geum-soon!",widow female lead
"Be Strong, Geum-soon!", doctor male lead
"Be Strong, Geum-soon!", single mother
"Be Strong, Geum-soon!", hair dresser
"Be Strong, Geum-soon!", soap opera
"Be Strong, Geum-soon!", nice male lead
"Be Strong, Geum-soon!", rich male lead 
Beating Again,eccentric male lead
Beating Again, male chases female first
Beating Again, hardworking female lead
Beating Again, smart female lead
Beating Again, orphan male lead
Beating Again, strong female lead
Beating Again, mean male lead
Beating Again, hottempered male lead
Beating Again, smart male lead
Beating Again, rich male lead 
Beating Heart,omnibus 
Beautiful Days,brothersister relationship
Beautiful Days, shy female lead
Beautiful Days, secondary couple
Beautiful Days, bickering couple
Beautiful Days, playboy male lead
Beautiful Days, older manyounger woman
Beautiful Days, opposites attract
Beautiful Days, s
Beautiful Days, motherdaughter relationship
Beautiful Days, fatherson relationship 
Beautiful Gong Shim,sibling rivalry
Beautiful Gong Shim, love triangle
Beautiful Gong Shim, nice male lead
Beautiful Gong Shim, long lost child
