title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4603,Red Hood: Outlaws,ACTION,"Patrick R. Young,Nico Bascuñan",MONDAY,5,219484,9.64,997928,108280,ONGOING,False,"The Outlaws try to go legit -- and fail spectacularly. The Justice League has issued a challenge to DC’s Dark Trinity, forcing Red Hood, Artemis of Bana-Mighdall, and Bizarro to try and replace their goody-two-shoe counterparts as the heroes the world neither deserves nor needs. 

In this original series, the Outlaws will battle some of DC’s biggest Super-Villains and Super Heroes -- but their biggest battles are among themselves. Can this team last? And can they find their own identities separate from Batman, Wonder Woman, and Superman? "
4596,A Dance of Swords in the Night,ACTION,"JP,MinskySong,Yu jin sung",WEDNESDAY,4,61812,9.6,207372,24226,ONGOING,False,"Kidnapped as a child to be trained in the art of poison, Sohan Jin returns to his hometown in search of the group of New Moon Sword Dancers who raised him. However, upon his return, Sohan discovers the sword dancers have been defeated by a nefarious sect that now rules the area, with some members having been abducted. What would have been a heartwarming reunion transforms into a quest for revenge as Sohan begins his search for the remaining sword dancers, and he’s willing to poison anyone who gets in his way."
4583,Kill the Dragon,ACTION,"Miss Jisu,J-Sun(REDICE STUDIO),Baeksu Noble",THURSDAY,7,176840,8.84,1687308,121186,ONGOING,False,"The human race plunged into a war against dragons, who have invaded the earth! At the same time, among the humans arose people with supernatural powers, called psykers. Through the countless sacrifices of psykers, the war seemed to be coming to an end with the human race as the victors. But when a psyker with the ability to see the future foretold that the dragons will be returning in 15 years, the people established Ark, a facility to train children born with psychic abilities to prepare for the last war of the human race. There are only three years remaining until the prophesized war. What will happen next?!


"
4582,Mythic Item Obtained,FANTASY,"Jung SeonYul,Hess",THURSDAY,5,167086,9.43,842795,67739,ONGOING,False,"In a world where technology and magic are almost indistinguishable from one another, monsters and creatures of myth and legend reign terror upon mankind. 
In humanity’s darkest moment, individuals with special god-like powers emerge to save the day. They are — the Awakened. 
Meet Jaehyeon, a feeble Awakened human Raider, who struggles to make ends meet until one day a series of confounding events allow him to claim a powerful item that will change the course of history forever…
"
4572,Marry My Husband,ROMANCE,"sungsojak,LICO",MONDAY,3,24449,9.49,71290,8516,ONGOING,False,"When Jiwon, a 37-year-old cancer patient, walks in on her husband and best friend, she realizes her whole life has been a lie. What’s worse, she dies a tragic death at the hands of her husband. Would things have been different if she had made different choices? Fortunately for Jiwon, she is given the chance to rewrite her fate when she is reincarnated as her younger self. This time, she vows to live a happy life. But first comes revenge. Her plan? To marry off her now former best friend to her lying, cheating husband."
4571,For My Derelict Favorite,ROMANCE,"Kim Seonyu,Ryuho,Kimyong",SATURDAY,6,306588,9.74,1754974,216994,ONGOING,False,"What happens after the story ends with a “happily ever after”? 
When Hestia enters her favorite novel as a side character, she happily fangirls from the sidelines. Thinking she’ll return home when the story reaches its end, Hestia finds that the only thing awaiting her is the tragic death of her favorite character.
Now miraculously restored to the day of the ending, Hestia decides that she’ll no longer spectate from the sidelines – instead, she’ll save her derelict favorite! 
"
4569,Shingi: The Spirit's Playbook,ACTION,"BBing,Min A",SUNDAY,6,65721,8.42,567815,41743,ONGOING,False,"Junbeom runs into Jina, an exorcist who captures mystical monsters called “Shingis.” She gives Jumbeom a bell to protect him, which unexpectedly turns Junbeom into a shingi! Desperate to return to his regular human self, the two look for the man that sold Jina the bell, but he has disappeared. They follow a lead and locate the billionaire who owned the bell before a burglar stole it from him. However, Junbeom and Jina must first catch the burglar before he’s willing to help. Will they ever succeed in returning Junbeom to his former self?"
4518,Zatanna & the Ripper,FANTASY,"Sarah Dealy,Syro",TUESDAY,9,185110,9.63,1267001,163287,ONGOING,False,"On her 21st birthday, Zatanna Zatara—assistant to the most talented magician in the world—is attacked and bested by a mysterious sorceress. Before the final blow is dealt, her father, Giovanni, casts a spell of his own, warping the magic of his attacker and sending Zatanna out of the frying pan and into ye olde garbage bin.

 

Zatanna arrives in Whitechapel, London, in the year 1888. She soon discovers a serial killer plaguing the streets of the city, Jack the Ripper. Unable to return home and certain that the supernatural killer has answers, Zatanna sets out in pursuit of the Ripper alongside the denizens of Whitechapel and one John Constantine."
4501,The Breaker: Eternal Force,ACTION,"GEUKJIN JEON,JINHWAN PARK",MONDAY,7,166065,9.37,974158,90145,ONGOING,False,"Haje Kang can’t take it anymore. Pushed to the breaking point by relentless bullying, Haje stands at the edge of the school roof, ready to end it all. But just as he’s about to jump, he’s given a push -- literally -- by a mysterious upperclassman named Si-un Lee, only to wake up the next day, unscathed. Little does Haje know that Si-un happens to be one of the most powerful martial artists in the Murim, the hidden world of martial arts. Haje begs Si-un to train him, but he never could have imagined just how tumultuous things could get in the martial arts underworld…
"
4491,Rewriting Our Love Story,ROMANCE,"choi gyeong min,young mo",SUNDAY,10,129151,8.97,1069906,122736,ONGOING,False,"Jeya is just a normal guy living a normal life. His life gets turned upside down when he meets his ex-girlfriend at a job interview. However, things get even worse when they get it an accident, travel back in time and swap bodies."
4470,No Marriage is Perfect,ROMANCE,"Lee Dahong,Long.B,CHOI",WEDNESDAY,5,311836,9.54,5616024,525128,ONGOING,True,"An argument, a fall, and a lie. Determined to save her loveless marriage, Yeonhwa impulsively fakes memory loss to buy herself some time. After all, who would insist on divorcing someone with a brain injury? But now, not only is her ice-cold husband suddenly warm and caring, he’s telling her that they’ve always shared a bed -- even though she knows they’ve never even kissed! How long can she hold him at bay? Does she even want to? And maybe more to the point, who’s playing who, here?"
4469,Monster Duke's Daughter,FANTASY,"Han ocean,Chal Lan",SATURDAY,3,237764,9.16,2307946,243656,ONGOING,True,"When her mom goes missing, three-year-old Lotilucia stumbles on a magic crest that transports her to the estate of House Frodium, one of the empire’s most powerful noble families. Little Lottie immediately recognizes Duke Damian Frodium as her dad; he is the so-called “Monster Duke” of demon descent. Once taken into the house, Lottie does her best to stay out of his way. But then she stumbles on a magic book that shows her a story about Duke Frodium’s adopted daughter replacing his dead daughter named Lotilucia! Lottie is shocked but also emboldened by the prophetic tale. If she is meant to die anyway, she might as well be her cheeky self and do as she pleases! This new Lottie wins over her demon dad along with his staff, but will she manage to stay alive and thrive as the Monster Duke’s daughter?"
4468,Master of Villains,ACTION,"DdeokkuE,Izi,SANA",SUNDAY,5,131797,4.09,1681837,105151,ONGOING,True,"Mystic World--a virtual reality RPG game. Beopgyu Lee, the developer of Mystic World, wakes up to find himself in a strange lab which he recognizes as one of the settings from his game. To make matters worse, he is in the body of Han Lee, a notorious villain character. Find out how Beopgyu survives as Han in the game he created--not as the main character but as the master of villains!"
4467,Dear Nemesis,DRAMA,"Velma,ohsso,Minato",MONDAY,10,253604,9.56,2161750,228274,ONGOING,False,"Calmia Phlox is given a second chance at life, but this time, she must compete against her beloved twin brother to gain back her coveted status and title as Countess Phlox. What’s more, her nemesis wants to... marry her?! Striking a deal with her former archenemy, Rudbeckia, while struggling between her ambitions and her fondness for her brother, will Calmia reclaim what is hers?"
4466,Land of the Crimson Moon,ACTION,"Park Shin,Shin Dong ku",WEDNESDAY,10,60414,9.27,578918,41075,ONGOING,False,"A doctor, Gyeonghun Min, has an exceptional grudge against Yeong-u Shin, the chairman of a gang called the Crimson Moon. Desperate to take revenge on Yeong-u for killing his wife and daughter, the doctor finally finds Sihwan Ryu, a police officer who has supernatural powers that can surpass the currently invincible Yeong-u. Leveraging this, Gyeonghun’s plan is to purposely create a reason for Sihwan to despise the Crimson Moon and destroy Yeong-u for good. Will his plans succeed? Will Sihwan and Gyeonghun finally wipe out the Crimson Moon?"
4465,Operation: True Love,ROMANCE,"kkokkalee,Dledumb",FRIDAY,11,362139,9.66,3956942,412953,ONGOING,False,"It’s hard dating someone who won’t give you the time of day. Su-ae Shim knows that better than anyone, having dated her indifferent boyfriend, Minu Kang, for years. She sometimes wishes she could be more like her charismatic stepsister, Ra-im, who seems to have it all. But life takes a turn for the weird when Su-ae discovers Jellypop, a sentient flip phone, in her locker. Jellypop has a lot to say about her love life, especially as Su-ae drifts further away from Minu and finds herself running into Minu’s friend, Eunhyeok. Add to the mix a growing suspicion that Minu and Ra-im might be more than friends, and Su-ae might need a miracle to navigate the ups and downs of high school romance! 
"
4464,The Dark Lord's Confession,FANTASY,Topseoung,THURSDAY,10,207958,9.59,1967704,213910,ONGOING,False,"What happens if you end up summoning the Dark Lord, the whole continent’s greatest enemy? Due to a battle that took place over a thousand years ago, cursed people become demon-like magicians, and those who are blessed become holy knights who protect the kingdom. Lapis, who hides her identity of being a magician and aspires to be a holy knight, accidentally ends up summoning the Dark Lord. Along with the Dark Lord’s puzzling confession, Lapis’ journey of becoming a holy knight begins! "
4449,Coffin Jackson,DRAMA,CTK,FRIDAY,11,50263,9.71,532755,48099,ONGOING,False,"Ever wondered where dead bodies go in the criminal underworld? That’s where Roman Piotroski comes in. A funeral director by day and cadaver disposal specialist by night, Roman makes a living processing and selling dead bodies for Fisher, a ruthless New Jersey gangster. After a falling out with Fisher, Roman finds himself recruited by a trio of misfit criminals in a hair-brained scheme to rob his old boss. Enter an extremely valuable corpse everyone’s dying to get their hands on, and it’s anyone’s game, with life and death at stake!"
4447,Karsearin: Adventures of a Red Dragon,FANTASY,"YKB,wm,jg52",MONDAY,10,145065,9.47,1274996,125284,ONGOING,False,"Meet Karsearin, AKA Arin, the first-ever dragon to run away from home! One day, Arin uses Polymorph magic to transform himself into a human and embarks on an adventure to the human world. But the human world is treacherous. Join in his adventure as he gets chased by orcs, gets sold away, and even becomes a princess!"
4442,It Rains on Precious Days,ROMANCE,"RYO.,YABOMI",SUNDAY,11,102922,8.68,1000493,98724,ONGOING,False,"Kyoko always thought she would end up getting married to her long-term boyfriend Kenichi. However, reality hits her like a ton of bricks when he decides to end their relationship and move to Kyushu without her. At the age of 24, she starts a new life in Tokyo, where she crosses paths with Yoichi at her workplace. His warmth tugs at her heart, and despite their 17-year age gap, she falls in love with him. However, fate has other plans, and when two other men shake up her love life, she must make the biggest decision of her life."
4357,Superstar Associate Manager,DRAMA,"kyungwon Park,Do8,Lee Jae Guk",WEDNESDAY,11,48203,9.33,253028,30537,ONGOING,False,"Hoyeon Cheon is an associate manager at Korea Capital, a finance company where his career is stagnating. One night, stuck with the cleanup after a long evening of karaoke with colleagues, he decides to sing one more song. Little does he know that the ghost of the wild-child rock star Jihyeok Han has been waiting, hoping to find the perfect vessel for his superstar aura…"
